Dom 20:00;9
Dom 20:30;7
Dom 21:00;8
Dom 21:30;6
Dom 22:00;8
Dom 22:30;2
Dom 23:00;2
Dom 23:30;0
Lun 00:00;0
Lun 00:30;0
Lun 01:00;0
Lun 01:30;0
Lun 02:00;0
Lun 02:30;0
Lun 03:00;0
Lun 03:30;0
Lun 04:00;0
Lun 04:30;0
Lun 05:00;1
Lun 05:30;1
Lun 06:00;1
Lun 06:30;5
Lun 07:00;5
Lun 07:30;4
Lun 08:00;4
Lun 08:30;4
Lun 09:00;6
Lun 09:30;6
Lun 10:00;7
Lun 10:30;7
Lun 11:00;5
Lun 11:30;5
Lun 12:00;6
Lun 12:30;2
Lun 13:00;2
Lun 13:30;0
Lun 14:00;0
Lun 14:30;0
Lun 15:00;1
Lun 15:30;5
Lun 16:00;5
Lun 16:30;4
Lun 17:00;4
Lun 17:30;5
Lun 18:00;6
Lun 18:30;7
Lun 19:00;9
Lun 19:30;7
Lun 20:00;8
Lun 20:30;7
Lun 21:00;8
Lun 21:30;6
Lun 22:00;8
Lun 22:30;2
Lun 23:00;2
Lun 23:30;0
Mar2 00:00;1
Mar2 00:30;4
Mar2 01:00;4
Mar2 01:30;4
Mar2 02:00;4
Mar2 02:30;4
Mar2 03:00;5
Mar2 03:30;2
Mar2 04:00;2
Mar2 04:30;0
Mar2 05:00;1
Mar2 05:30;1
Mar2 06:00;1
Mar2 06:30;5
Mar2 07:00;5
Mar2 07:30;4
Mar2 08:00;4
Mar2 08:30;4
Mar2 09:00;6
Mar2 09:30;6
Mar2 10:00;6
Mar2 10:30;6
Mar2 11:00;4
Mar2 11:30;5
Mar2 12:00;6
Mar2 12:30;2
Mar2 13:00;2
Mar2 13:30;0
Mar2 14:00;0
Mar2 14:30;0
Mar2 15:00;1
Mar2 15:30;5
Mar2 16:00;5
Mar2 16:30;4
Mar2 17:00;4
Mar2 17:30;5
Mar2 18:00;6
Mar2 18:30;7
Mar2 19:00;9
Mar2 19:30;5
Mar2 20:00;7
Mar2 20:30;7
Mar2 21:00;8
Mar2 21:30;6
Mar2 22:00;8
Mar2 22:30;2
Mar2 23:00;2
Mar2 23:30;0
Mie2 00:00;0
Mie2 00:30;0
Mie2 01:00;0
Mie2 01:30;0
Mie2 02:00;0
Mie2 02:30;0
Mie2 03:00;0
Mie2 03:30;0
Mie2 04:00;0
Mie2 04:30;0
Mie2 05:00;1
Mie2 05:30;1
Mie2 06:00;0
Mie2 06:30;0
Mie2 07:00;0
Mie2 07:30;0
Mie2 08:00;0
Mie2 08:30;0
